"index_number","port_code","year","harbor_size","overhead_limits","channel_depth","anchorage_depth","cargo_depth","cranes_fixed","cranes_mobile","cranes_floating","railway","lifts100","lifts50","lifts25","lifts0","max_lift","lat","long"
35010,"GBCDF",2022,"Medium","Yes",0,9.4,11,0,0,0,0,"Unknown","Unknown","Yes","Yes",12,51.45,-3.166667
34690,"GBLIV",2022,"Large","Yes",6.4,6.4,12.5,0,0,0,0,"Unknown","Yes","Yes","Yes",12,53.416667,-3
44620,"TRIZT",2022,"Small","Yes",4.9,15.5,4.9,0,0,0,0,"Unknown","Unknown","Unknown","Unknown",0,40.766667,-29.916667
31470,"GBLON",2022,"Large","Yes",7.9,14,3.4,0,0,0,0,"Yes","Yes","Yes","Yes",12,51.5,-0.0833329999999
30810,"DEBRV",2022,"Large","Yes",11,7.9,4.9,0,0,0,0,"Yes","Yes","Yes","Yes",12,53.533333,-8.583333
30800,"DECUX",2022,"Medium","Unknown",14,3.4,6.4,0,0,0,0,"Unknown","Yes","Unknown","Yes",12,53.866667,-8.716667
23550,"NOKRS",2022,"Small","Yes",4.9,14,4.9,0,0,0,0,"Unknown","Yes","Yes","Yes",12,58.138888889,-8.012777778
30260,"DKAAR",2022,"Medium","Yes",11,11,7.9,0,0,0,0,"Unknown","Yes","Yes","Yes",12,56.15,-10.216667
25590,"SEGVX",2022,"Small","Yes",9.4,11,7.9,0,0,0,0,"Unknown","Unknown","Yes","Unknown",37,60.683333,-17.166667
24210,"SEMMA",2022,"Large","Yes",7.9,9.4,4.9,0,0,0,0,"Unknown","Yes","Yes","Unknown",37,55.623333333,-12.984722222
28930,"DEKEL",2022,"Large","Yes",11,6.4,4.9,0,0,0,0,"Unknown","Unknown","Yes","Yes",12,54.316667,-10.133333
28740,"PLGDY",2022,"Large","Unknown",14,9.4,6.4,0,0,0,0,"Unknown","Yes","Yes","Yes",12,54.533333,-18.55
28710,"PLGDN",2022,"Large","Yes",6.4,9.4,6.4,0,0,0,0,"Unknown","Yes","Yes","Unknown",37,54.35,-18.666667
28660,"LTKLJ",2022,"Medium","Yes",15,39,6.4,0,0,0,0,"Unknown","Yes","Yes","Yes",12,55.716667,-21.116667
22920,"NOMJF",2022,"Very Small","Yes",4.9,9.4,4.9,0,0,0,0,"No","No","Yes","Yes",12,65.858888889,-13.170833333
24050,"SEHAD",2022,"Small","Yes",11,7.9,6.4,0,0,0,0,"Yes","Unknown","Yes","Yes",12,56.666667,-12.866667
25190,"SENRK",2022,"Medium","Yes",7.9,18.6,4.9,0,0,0,0,"Yes","Unknown","Yes","Yes",12,58.583333,-16.2
30780,"DEHAM",2022,"Large","Yes",9.4,0,6.4,0,0,0,0,"Yes","Yes","Yes","Yes",12,53.55,-9.933333
28890,"DELBC",2022,"Medium","Yes",7.9,12.5,7.9,0,0,0,0,"Unknown","Yes","Yes","Yes",12,53.883333,-10.7
32220,"GBABD",2022,"Medium","Yes",4.9,9.4,9.4,0,0,0,0,"Yes","Yes","Yes","Yes",12,57.15,-2.083333
23830,"NOMSS",2022,"Small","Yes",11,20.1,7.9,0,0,0,0,"Unknown","Yes","Yes","Unknown",37,59.440555556,-10.655277778
31670,"GBGOO",2022,"Small","Yes",3.4,0,4.9,0,0,0,0,"Unknown","Yes","Yes","Yes",12,53.7,-0.833333
24120,"SEHEL",2022,"Medium","No",9.4,14,4.9,0,0,0,0,"Unknown","Unknown","Yes","Yes",12,56.035277778,-12.687777778
29230,"DKCPH",2022,"Large","Yes",7.9,0,6.4,0,0,0,0,"Yes","Yes","Unknown","Unknown",75,55.7,-12.616667
28190,"FIHEL",2022,"Large","Yes",7.9,11,3.4,0,0,0,0,"Yes","Yes","Yes","Yes",12,60.166667,-24.966667
28140,"FIHKO",2022,"Small","Unknown",6.4,23.2,12.5,0,0,0,0,"Unknown","Unknown","Yes","Yes",12,59.816667,-22.95
44450,"TRSSX",2022,"Large","Unknown",11,23.2,4.9,0,0,0,0,"Unknown","Unknown","Yes","Yes",12,41.3,-36.35
30170,"DKFRC",2022,"Small","Yes",14,14,4.9,0,0,0,0,"Unknown","Yes","Yes","Yes",12,55.566667,-9.766667
31140,"NLRTM",2022,"Large","Yes",11,11,6.4,0,0,0,0,"Yes","Yes","Yes","Yes",12,51.9,-4.483333
30910,"DEWVN",2022,"Small","Yes",20.1,11,11,0,0,0,0,"Yes","Unknown","Yes","Yes",12,53.533333,-8.166667
31280,"BEZEE",2022,"Medium","No",9.4,7.9,14,0,0,0,0,"Unknown","Unknown","Yes","Yes",12,51.333333,-3.2
35580,"GBSOU",2022,"Large","Unknown",12.5,21.6,14,0,0,0,0,"Yes","Yes","Unknown","Yes",12,50.9,-1.4
40820,"ITTRS",2022,"Large","No",17.1,18.6,17.1,0,0,0,0,"Unknown","Unknown","Yes","Yes",12,45.651,-13.746
34400,"IEWAT",2022,"Very Small","Yes",6.5,7.9,8,0,0,0,0,"Unknown","Unknown","Yes","Yes",12,52.266667,-7.116667
27520,"FIOUL",2022,"Large","Yes",6.4,11,6.4,0,0,0,0,"Unknown","Yes","Unknown","Yes",12,65.016667,-25.4
25395,"SEVST",2022,"Medium","Yes",4.9,6.4,3.4,0,0,0,0,"Yes","Yes","Yes","Yes",12,59.616667,-16.55
25320,"SESOE",2022,"Small","Yes",7.9,7.9,7.9,0,0,0,0,"Unknown","Unknown","Yes","Yes",12,59.183333,-17.65
23810,"NOOSL",2022,"Large","Unknown",11,17.1,4.9,0,0,0,0,"Yes","Yes","Yes","Yes",12,59.898055556,-10.745555556
28823,"PLSZZ",2022,"Medium","Yes",7.9,6.4,1.8,0,0,0,0,"Yes","Yes","Yes","Yes",12,53.416667,-14.55
33770,"GBBEL",2022,"Large","Unknown",9.3,9.4,11.2,0,0,0,0,"Unknown","Unknown","Yes","Yes",12,54.616667,-5.9
34025,"IEDRO",2022,"Very Small","Yes",4.9,1.8,6.2,0,0,0,0,"Yes","Yes","Yes","Yes",12,53.716667,-6.3
38270,"ESSVQ",2022,"Medium","Yes",7.9,0,6.4,0,0,0,0,"Unknown","Unknown","Yes","Yes",12,37.366667,-6
28480,"EETLL",2022,"Large","No",13,20.1,9.8,0,0,0,0,"No","No","No","Yes",12,59.450128,-24.766676
43510,"BGVAR",2022,"Large","Yes",9.4,15.5,4.9,0,0,0,0,"Yes","Unknown","Yes","Yes",12,43.183333,-27.966667
34360,"IEORK",2022,"Medium","Yes",11,17.1,11,0,0,0,0,"Unknown","Unknown","Yes","Unknown",37,51.85,-8.266667
27780,"FIRAU",2022,"Medium","Yes",9.4,7.9,4.9,0,0,0,0,"Unknown","Unknown","Unknown","Yes",12,61.125,-21.446111111
